Violation Record Name,Test Score - School name,Proficiency,Violation counts,PSS Name,PSS_CITY,DAYS PER SCHOOL YEAR,DAY HOURS,PSS_LIBRARY,PSS_ENROLL_T,PSS_RELIG,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_STUDENT_TEACHER_RATIO,PSS_ORIENT
YESHIVA OHEL MOSHE,YESHIVA OHEL MOSHE,0.00%,2,YESHIVAH OHEL MOSHE,BROOKLYN,180,8,,59,2,0,0,13.55,1.69,84.74,1,18
AL-IHSAN ACADEMY,AL-IHSAN ACADEMY,52.16%,1,AL-IHSAN ACADEMY,SOUTH OZONE PARK,182,7.25,,463,2,0,77.77,0,4.96,17.25,11.13,17
AL-MAMOOR SCHOOL,AL-MAMOOR SCHOOL,63.22%,1,AL-MAMOOR SCHOOL,FRESH MEADOWS,180,6.75,,255,2,0.41,90.53,0.82,0.82,5.76,10.56,17
AL-NOOR SCHOOL,AL-NOOR SCHOOL,58.34%,1,AL-NOOR SCHOOL,BROOKLYN,180,7.66,,568,2,0,44.54,1.31,6.2,46.05,9.31,17
Blessed Sacrament School,BLESSED SACRAMENT SCHOOL,18.39%,1,BLESSED SACRAMENT CATHOLIC ACADEMY,BROOKLYN,180,7,,204,1,,,,,,17.72,1
BNOS BAIS YAAKOV OF FAR ROCKAWAY,BNOS BAIS YAAKOV-FAR ROCKAWAY,59.50%,1,BNOS BAIS YAAKOV-FAR ROCKAWAY,FAR ROCKAWAY,180,8.5,,1391,2,0,0,0,0,100,10.24,18
GAN YISROEL,GAN YISROEL,3.18%,1,GAN YISROEL,BROOKLYN,200,7,,251,2,0,0,0,0,100,11.25,18
INCARNATION SCHOOL,INCARNATION SCHOOL,25.28%,1,INCARNATION SCHOOL,NEW YORK,180,7,,279,1,0,0,98.17,0.6,0.6,8.63,1
ISLAMIC CULTURAL CENTER SCHOOL,ISLAMIC CULTURAL CENTER,70.74%,1,ISLAMIC CULTURAL CENTER SCHOOL,NEW YORK,180,7.16,,138,2,0,44.92,0,31.15,16.66,8.62,17
BAIS YAAKOV D'CHASDEI GUR,BAIS YAAKOV D'CHASSIDEI GUR,21.21%,1,MASORES BAIS YAAKOV,BROOKLYN,165,8.25,,787,2,0,0,0,0,100,13.38,18
NEW GRACE CENTER,NEW GRACE EDUCATION,78.67%,1,"NEW GRACE CENTER, INC.",BROOKLYN,180,6.5,,116,2,0,0,3.77,96.22,0,7.06,5
OUR LADY OF FATIMA SCHOOL,OUR LADY OF FATIMA,76.05%,1,OUR LADY OF FATIMA SCHOOL,EAST ELMHURST,180,7.16,,277,1,0.77,3.47,84.16,1.93,1.15,15.69,1
OUR LADY QUEEN OF MARTYRS CATHOLIC ACADEMY,OUR LADY QUEEN OF MARTYRS,68.04%,1,OUR LADY QUEEN OF MARTYRS CATHOLIC ACADEMY,FOREST HILLS,177,7,,284,1,0,11.97,50,13.02,25,17.21,1
SACRED HEART SCHOOL,SACRED HEART SCHOOL,60.10%,1,SACRED HEART SCHOOL,BRONX,180,8.25,,435,1,0,0.49,81.32,17.44,0.73,18.5,1
SAINT FRANCES DE CHANTAL SCHOOL,ST FRANCES DE CHANTAL,52.11%,1,ST FRANCES DE CHANTAL SCHOOL,BRONX,181,6.5,,364,1,2.58,2.58,46.12,6.03,39.22,21.09,1
ST. NICHOLAS OF TOLENTINE SCHOOL,ST NICHOLAS OF TOLENTINE,62.15%,1,ST NICHOLAS OF TOLENTINE SCHOOL,JAMAICA,176,6.5,,328,1,0,23.38,43.52,18.7,12.94,17.48,1
TALMUD TORAH OHEL YOCHANON,TALMUD TORAH OHEL YOCHANAN,0.78%,1,TALMUD TORAH OHEL YOCHANAN,BROOKLYN,170,8,,879,2,0,0,0,0,100,15.8,18
VIZNITZER CHAIDER TIFERES YISROEL,VIZNITZER CHAIDER TIFERES,0.00%,1,TALMUD TORAH TIFERES YISROEL INC,BROOKLYN,,7,,101,2,0,0,0,0,100,14.85,18
