SchoolName,COUNTA of Level,School Type,Jewish,Catholic,Religious,Student Teacher Ratio,Students
"BOYS & GIRLS H.S., RESEARCH AND SERVICE HIGH SCHOOL, P2G @ D.R.E.A.M.S., NELSON MANDELA HIGH SCHOOL,",0,0,0,0,0,7.2100000,133.0
"BOYS & GIRLS H.S., RESEARCH AND SERVICE HIGH SCHOOL, P2G @ D.R.E.A.M.S., NELSON MANDELA HIGH SCHOOL,",0,0,0,0,0,10.2400000,181.0
"BRIGHTER CHOICE COMMUNITY SCHOOL, P.S. K140",2,0,0,0,0,13.6200000,286.0
"BRONX ACADEMY FOR SOFTWARE ENGINEERI, HIGH SCHOOL FOR ENERGY AND TECHNOLOGY, CROTONA INTERNATIONAL H",0,0,0,0,0,9.1300000,387.0
"BRONX ACADEMY FOR SOFTWARE ENGINEERI, HIGH SCHOOL FOR ENERGY AND TECHNOLOGY, CROTONA INTERNATIONAL H",0,0,0,0,0,10.9300000,306.0
"BRONX ACADEMY FOR SOFTWARE ENGINEERI, HIGH SCHOOL FOR ENERGY AND TECHNOLOGY, CROTONA INTERNATIONAL H",0,0,0,0,0,11.2300000,415.0
"BRONX ALLIANCE MIDDLE SCHOOL, BAYCHESTER MIDDLE SCHOOL, ONE WORLD MIDDLE SCHOOL OF EDENWALD",1,0,0,0,0,11.4800000,267.0
"BRONX ALLIANCE MIDDLE SCHOOL, BAYCHESTER MIDDLE SCHOOL, ONE WORLD MIDDLE SCHOOL OF EDENWALD",1,0,0,0,0,8.2300000,214.0
"BRONX ALLIANCE MIDDLE SCHOOL, BAYCHESTER MIDDLE SCHOOL, ONE WORLD MIDDLE SCHOOL OF EDENWALD",1,0,0,0,0,7.9100000,322.0
BRONX CHARTER SCHOOL FOR CHILDREN,1,0,0,0,0,12.4800000,524.0
BRONX COMMUNITY CHARTER SCHOOL,1,0,0,0,0,10.4800000,459.0
BRONX DANCE ACADEMY SCHOOL,0,0,0,0,0,12.8500000,257.0
"BRONX GREEN MIDDLE SCHOOL, BRONX PARK MIDDLE SCHOOL, PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAG",0,0,0,0,0,13.1200000,341.0
"BRONX GREEN MIDDLE SCHOOL, BRONX PARK MIDDLE SCHOOL, PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAG",0,0,0,0,0,10.8900000,358.0
"BRONX GREEN MIDDLE SCHOOL, BRONX PARK MIDDLE SCHOOL, PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAG",0,0,0,0,0,11.3200000,283.0
"BRONX HEALTH SCIENCES HIGH SCHOOL, P.S. X176, HARRY S TRUMAN HIGH SCHOOL",0,0,0,0,0,11.5000000,368.0
"BRONX HEALTH SCIENCES HIGH SCHOOL, P.S. X176, HARRY S TRUMAN HIGH SCHOOL",0,0,0,0,0,13.1700000,1892.0
"BRONX HEALTH SCIENCES HIGH SCHOOL, P.S. X176, HARRY S TRUMAN HIGH SCHOOL",0,0,0,0,0,5.4600000,604.0
"BRONX LATIN, DR. RICHARD IZQUIERDO HEALTH AND SCIENCE CHARTER SCHOOL, BRONX CAREER AND COLLEGE PREPA",0,0,0,0,0,8.7300000,202.0
"BRONX LATIN, DR. RICHARD IZQUIERDO HEALTH AND SCIENCE CHARTER SCHOOL, BRONX CAREER AND COLLEGE PREPA",0,0,0,0,0,11.7400000,493.0
BRONX LEADERSHIP ACADEMY HIGH SCHOOL,1,0,0,0,0,11.7100000,328.0
BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,0,0,0,0,0,8.1000000,170.0
"BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS, P186X @ BRONX STUDIO SCH FOR WRITERS",1,0,0,0,0,9.9800000,614.0
BROOKLYN COLLEGE ACADEMY - BRIDGE TO BROOKLYN,1,0,0,0,0,19.1900000,631.0
"BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL, RESTART ACADEMY AT BROOKLYN COLLEGIATE",2,0,0,0,0,10.9000000,413.0
"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA, P.S. K369  - COY L. COX SCHOOL, BRO",0,0,0,0,0,9.9600000,515.0
"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA, P.S. K369  - COY L. COX SCHOOL, BRO",0,0,0,0,0,8.2400000,139.0
BROOKLYN FRONTIERS HIGH SCHOOL,0,0,0,0,0,7.0100000,145.0
"BROOKLYN GARDENS ELEMENTARY SCHOOL, SCHOOL OF THE FUTURE BROOKLYN",4,0,0,0,0,12.1300000,277.0
"BROOKLYN GARDENS ELEMENTARY SCHOOL, SCHOOL OF THE FUTURE BROOKLYN",4,0,0,0,0,8.0800000,105.0
BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,0,0,0,0,0,14.1100000,549.0
"BROOKLYN NEW SCHOOL-PS 146 (THE), BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES",3,0,0,0,0,11.0800000,671.0
"BROOKLYN NEW SCHOOL-PS 146 (THE), BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES",3,0,0,0,0,15.3500000,649.0
"BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE, I.S. 077",1,0,0,0,0,10.8400000,627.0
CHALLENGE PREPARATORY CHARTER SCHOOL,2,0,0,0,0,13.4200000,1134.0
"CHRISTOPHER AVENUE COMMUNITY SCHOOL, LEADERSHIP PREP OCEAN HILL MIDDLE CS, LEADERSHIP PREPARATORY OC",0,0,0,0,0,11.3200000,225.0
"CHRISTOPHER AVENUE COMMUNITY SCHOOL, LEADERSHIP PREP OCEAN HILL MIDDLE CS, LEADERSHIP PREPARATORY OC",0,0,0,0,0,13.5100000,1202.0
"CITY COLLEGE ACADEMY OF THE ARTS, MIDDLE SCHOOL 322",0,0,0,0,0,11.2600000,590.0
"CITY COLLEGE ACADEMY OF THE ARTS, MIDDLE SCHOOL 322",0,0,0,0,0,8.9200000,245.0
"CLARA BARTON HIGH SCHOOL, P.S. K753 - SCHOOL FOR CAREER DEVELOPMENT",4,0,0,0,0,12.4100000,1178.0
"COMMUNITY SCHOOL FOR SOCIAL JUSTICE, HEALTH OPPORTUNITIES HIGH SCHOOL",2,0,0,0,0,10.8300000,222.0
"COMMUNITY SCHOOL FOR SOCIAL JUSTICE, HEALTH OPPORTUNITIES HIGH SCHOOL",2,0,0,0,0,9.6900000,225.0
CONCORD HIGH SCHOOL,0,0,0,0,0,8.8300000,160.0
"CONCOURSE VILLAGE ELEMENTARY SCHOOL, BRONX GLOBAL LEARNING INSTITUTE FOR GIRLS CHARTER, P017X @ PERF",2,0,0,0,0,11.5300000,219.0
"CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES, GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL",0,0,0,0,0,16.4500000,512.0
"CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES, GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL",0,0,0,0,0,14.3200000,478.0
"CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES, GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL",0,0,0,0,0,11.4500000,419.0
"CURTIS HIGH SCHOOL, SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25",0,0,0,0,0,14.1300000,2153.0
"DOS PUENTES ELEMENTARY SCHOOL, P.S. 132 JUAN PABLO DUARTE",4,0,0,0,0,12.3800000,421.0
"DOS PUENTES ELEMENTARY SCHOOL, P.S. 132 JUAN PABLO DUARTE",4,0,0,0,0,8.8800000,151.0
"DR. JACQUELINE PEEK-DAVIS SCHOOL, RONALD EDMONDS LEARNING CENTER II",6,0,0,0,0,15.5900000,184.0
"DR. JACQUELINE PEEK-DAVIS SCHOOL, RONALD EDMONDS LEARNING CENTER II",6,0,0,0,0,7.9000000,135.0
"DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS, P.S. K369  - COY L. COX SCHOOL, SUCCESS ACADEMY",0,0,0,0,0,7.6500000,247.0
"EAGLE ACADEMY FOR YOUNG MEN OF HARLE, MOTT HALL HIGH SCHOOL",3,0,0,0,0,7.4800000,210.0
"EAGLE ACADEMY FOR YOUNG MEN OF HARLE, MOTT HALL HIGH SCHOOL",3,0,0,0,0,9.6000000,192.0
"EAST FLATBUSH COMMUNITY RESEARCH SCHOOL, P753K AT K232",1,0,0,0,0,12.5300000,1215.0
"EAST FLATBUSH COMMUNITY RESEARCH SCHOOL, P753K AT K232",1,0,0,0,0,12.0000000,180.0
"EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL II, CENTRAL PARK EAST HIGH SCHOOL, CENTRAL PARK EAST I",0,0,0,0,0,14.4200000,173.0
EAST NEW YORK FAMILY ACADEMY,2,0,0,0,0,11.6100000,659.0
EBC HIGH SCHOOL FOR PUBLIC SERVICE BUSHWICK,0,0,0,0,0,11.0200000,445.0
EL PUENTE ACADEMY FOR PEACE AND JUSTICE,4,0,0,0,0,8.0300000,174.0
"ESSEX STREET ACADEMY, HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES, URBAN ASSEMBLY ACADEMY OF GOV",2,0,0,0,0,10.8200000,344.0
"ESSEX STREET ACADEMY, HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES, URBAN ASSEMBLY ACADEMY OF GOV",2,0,0,0,0,12.9000000,373.0
"ESSEX STREET ACADEMY, HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES, URBAN ASSEMBLY ACADEMY OF GOV",2,0,0,0,0,11.7400000,315.0
"ESSEX STREET ACADEMY, HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES, URBAN ASSEMBLY ACADEMY OF GOV",2,0,0,0,0,8.5200000,455.0
"ESSEX STREET ACADEMY, HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES, URBAN ASSEMBLY ACADEMY OF GOV",2,0,0,0,0,12.2000000,286.0
"EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL, THE BRONX CENTER FOR SCIENCE AND MAT",0,0,0,0,0,11.3100000,389.0
"EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL, THE BRONX CENTER FOR SCIENCE AND MAT",0,0,0,0,0,13.5900000,367.0
FANNIE LOU HAMER FREEDOM HIGH SCHOOL,0,0,0,0,0,44.8000000,448.0
FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,1,0,0,0,0,15.7400000,2381.0
"FORT HILL COLLABORATIVE ELEMENTARY SCHOOL, P.S. 016 JOHN J. DRISCOLL",2,0,0,0,0,10.4400000,188.0
"FORT HILL COLLABORATIVE ELEMENTARY SCHOOL, P.S. 016 JOHN J. DRISCOLL",2,0,0,0,0,13.2100000,396.0
"FRANKLIN K. LANE CAMPUS YABC, P2G AT FRANKLIN K LANE, MULTICULTURAL HIGH SCH, ACADEMY OF INNOVATIVE",0,0,0,0,0,10.7600000,406.0
"FRANKLIN K. LANE CAMPUS YABC, P2G AT FRANKLIN K LANE, MULTICULTURAL HIGH SCH, ACADEMY OF INNOVATIVE",0,0,0,0,0,11.7200000,395.0
"FRANKLIN K. LANE CAMPUS YABC, P2G AT FRANKLIN K LANE, MULTICULTURAL HIGH SCH, ACADEMY OF INNOVATIVE",0,0,0,0,0,10.9300000,404.0
"FRANKLIN K. LANE CAMPUS YABC, P2G AT FRANKLIN K LANE, MULTICULTURAL HIGH SCH, ACADEMY OF INNOVATIVE",0,0,0,0,0,11.2900000,335.0
"FRANKLIN K. LANE CAMPUS YABC, P2G AT FRANKLIN K LANE, MULTICULTURAL HIGH SCH, ACADEMY OF INNOVATIVE",0,0,0,0,0,10.3100000,337.0
"FREDERICK DOUGLASS ACADEMY VII HS, TEACHERS PREPARATORY HS",0,0,0,0,0,8.5500000,227.0
"FREDERICK DOUGLASS ACADEMY VII HS, TEACHERS PREPARATORY HS",0,0,0,0,0,8.5800000,189.0
"FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL, P.S. 346 ABE STARK",0,0,0,0,0,8.3100000,195.0
"FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL, P.S. 346 ABE STARK",0,0,0,0,0,10.4200000,413.0
"GEORGE WASHINGTON YABC, THE COLLEGE ACADEMY, HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS, HIGH SCHOOL F",4,0,0,0,0,10.8400000,325.0
"GEORGE WASHINGTON YABC, THE COLLEGE ACADEMY, HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS, HIGH SCHOOL F",4,0,0,0,0,12.1300000,369.0
"GEORGE WASHINGTON YABC, THE COLLEGE ACADEMY, HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS, HIGH SCHOOL F",4,0,0,0,0,9.4100000,364.0
"GEORGE WASHINGTON YABC, THE COLLEGE ACADEMY, HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS, HIGH SCHOOL F",4,0,0,0,0,11.3300000,328.0
GIRLS PREP BRONX 2 CHARTER SCHOOL,2,0,0,0,0,9.0000000,225.0
GRAND STREET HIGH SCHOOL CAMPUS,0,0,0,0,0,13.2300000,474.0
GRAND STREET HIGH SCHOOL CAMPUS,0,0,0,0,0,13.4000000,536.0
GRAND STREET HIGH SCHOOL CAMPUS,0,0,0,0,0,10.6100000,392.0
HERBERT H. LEHMAN HIGH SCHOOL,1,0,0,0,0,12.1800000,434.0
HERBERT H. LEHMAN HIGH SCHOOL,1,0,0,0,0,12.6500000,1071.0
HERBERT H. LEHMAN HIGH SCHOOL,1,0,0,0,0,9.3700000,313.0
HERBERT H. LEHMAN HIGH SCHOOL,1,0,0,0,0,11.9500000,433.0
HERBERT H. LEHMAN HIGH SCHOOL,1,0,0,0,0,12.6300000,372.0
HERBERT H. LEHMAN HIGH SCHOOL,1,0,0,0,0,12.8300000,407.0
HIGH SCHOOL FOR LAW ADVOCAY AND COMMUNITY,0,0,0,0,0,12.8000000,447.0
HIGH SCHOOL FOR LAW ADVOCAY AND COMMUNITY,0,0,0,0,0,12.8000000,448.0
HIGH SCHOOL FOR LAW ADVOCAY AND COMMUNITY,0,0,0,0,0,15.3700000,477.0
HIGH SCHOOL FOR LAW ADVOCAY AND COMMUNITY,0,0,0,0,0,6.8900000,109.0
HIGH SCHOOL FOR LAW ADVOCAY AND COMMUNITY,0,0,0,0,0,9.7800000,315.0
"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE, HIGH SCHOOL FOR MATHEMATICS, S",1,0,0,0,0,16.6500000,555.0
"HIGH SCHOOL M560 - CITY AS SCHOOL, LYFE [BABIES], P.S. M721 - MANHATTAN OCCUPATIONAL TRAINING CENTER",0,0,0,0,0,4.6300000,179.0
HIGH SCHOOL OF ECONOMICS AND FINANCE,0,0,0,0,0,13.1500000,679.0
"I.S. 007 ELIAS BERNSTEIN, SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25",0,0,0,0,0,16.1200000,1193.0
I.S. 027 ANNING S. PRALL,2,0,0,0,0,11.6700000,952.0
"I.S. 061 WILLIAM A MORRIS, P373R AT R061, P025R AT R061",5,0,0,0,0,12.5500000,932.0
I.S. 072 ROCCO LAURIE,3,0,0,0,0,12.2700000,1449.0
"I.S. 075 FRANK D. PAULO, SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25",0,0,0,0,0,12.7500000,1452.0
"I.S. 117 JOSEPH H. WADE, YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX",0,0,0,0,0,9.3200000,358.0
"I.S. 117 JOSEPH H. WADE, YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX",0,0,0,0,0,12.1600000,535.0
I.S. 145 BRONX,0,0,0,0,0,8.9600000,163.0
I.S. 145 BRONX,0,0,0,0,0,8.6200000,181.0
I.S. 145 BRONX,0,0,0,0,0,8.4300000,156.0
I.S. 184,0,0,0,0,0,6.2700000,125.0
I.S. 184,0,0,0,0,0,7.5500000,151.0
I.S. 184,0,0,0,0,0,4.6400000,558.0
I.S. 184,0,0,0,0,0,8.2400000,225.0
I.S. 193/CS211,1,0,0,0,0,20.5000000,570.0
I.S. 193/CS211,1,0,0,0,0,10.3200000,303.0
I.S. 193/CS211,1,0,0,0,0,7.2800000,203.0
I.S. 206 ANN MERSEREAU,1,0,0,0,0,8.3000000,177.0
I.S. 254,2,0,0,0,0,11.7500000,469.0
I.S. 275 BROOKLYN,2,0,0,0,0,8.2400000,140.0
I.S. 275 BROOKLYN,2,0,0,0,0,6.6800000,83.0
I.S. 275 BROOKLYN,2,0,0,0,0,10.5800000,200.0
"I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT, P469X AT X147, I.S. 339",0,0,0,0,0,6.9800000,172.0
"I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT, P469X AT X147, I.S. 339",0,0,0,0,0,6.5000000,165.0
I.S. 318 EUGENIO MARIA DE HOSTOS,3,0,0,0,0,12.9100000,1069.0
I.S. 364 GATEWAY,2,0,0,0,0,7.7500000,162.0
I.S. 528 BEA FULLER RODGERS SCHOOL,0,0,0,0,0,13.6700000,249.0
I.S. 98 BAY ACADEMY,0,0,0,0,0,19.6000000,1488.0
"I.S. R002 GEORGE L. EGBERT, P037R AT R002",0,0,0,0,0,11.7600000,934.0
IMAGINE ME LEADERSHIP CHARTER SCHOOL,1,0,0,0,0,†,195.0
"INSTITUTE FOR ENVIRONMENTAL LEARNING - P.S. 291, P.S. X015",1,0,0,0,0,10.1600000,410.0
"INSTITUTE FOR ENVIRONMENTAL LEARNING - P.S. 291, P.S. X015",1,0,0,0,0,12.6000000,415.0
INTERNATIONAL ART AND BUSINESS HS,2,0,0,0,0,11.3900000,479.0
INTERNATIONAL ART AND BUSINESS HS,2,0,0,0,0,14.7400000,452.0
INTERNATIONAL ART AND BUSINESS HS,2,0,0,0,0,9.6800000,184.0
"INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS, THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP, BROOKLYN SCHO",3,0,0,0,0,11.2800000,265.0
"INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS, THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP, BROOKLYN SCHO",3,0,0,0,0,10.9700000,223.0
"INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS, THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP, BROOKLYN SCHO",3,0,0,0,0,10.5100000,221.0
"INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS, THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP, BROOKLYN SCHO",3,0,0,0,0,10.9300000,272.0
"IT TAKES A VILLAGE ACADEMY, CULTURAL ACADEMY FOR THE ARTS AND SCIENCES, KURT HAHN EXPEDITIONARY LEAR",2,0,0,0,0,9.0400000,232.0
"IT TAKES A VILLAGE ACADEMY, CULTURAL ACADEMY FOR THE ARTS AND SCIENCES, KURT HAHN EXPEDITIONARY LEAR",2,0,0,0,0,10.0800000,308.0
"IT TAKES A VILLAGE ACADEMY, CULTURAL ACADEMY FOR THE ARTS AND SCIENCES, KURT HAHN EXPEDITIONARY LEAR",2,0,0,0,0,7.4400000,152.0
"J.H.S. 014 SHELL BANK, P771K AT K014, P.S. K811 CONNIE LEKAS SCHOOL",2,0,0,0,0,8.8500000,452.0
"J.H.S. 052 INWOOD, HIGH SCHOOL FOR EXCELLENCE AND INNOVATION, INWOOD EARLY COLLEGE FOR HEALTH AND IN",1,0,0,0,0,5.9600000,143.0
"J.H.S. 052 INWOOD, HIGH SCHOOL FOR EXCELLENCE AND INNOVATION, INWOOD EARLY COLLEGE FOR HEALTH AND IN",1,0,0,0,0,6.2300000,137.0
"J.H.S. 052 INWOOD, HIGH SCHOOL FOR EXCELLENCE AND INNOVATION, INWOOD EARLY COLLEGE FOR HEALTH AND IN",1,0,0,0,0,9.9400000,394.0
"J.H.S. 123 JAMES M. KIERAN, THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE",0,0,0,0,0,9.4100000,530.0
"J.H.S. 123 JAMES M. KIERAN, THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE",0,0,0,0,0,11.2900000,401.0
"J.H.S. 127 THE CASTLE HILL, LINDEN TREE ELEMENTARY SCHOOL",1,0,0,0,0,12.0200000,815.0
"J.H.S. 127 THE CASTLE HILL, LINDEN TREE ELEMENTARY SCHOOL",1,0,0,0,0,13.4200000,331.0
"J.H.S. 131 ALBERT EINSTEIN, SUCCESS ACADEMY CHARTER SCHOOL - BRONX 4, SOUNDVIEW ACADEMY FOR CULTURE",3,0,0,0,0,10.5200000,351.0
"J.H.S. 131 ALBERT EINSTEIN, SUCCESS ACADEMY CHARTER SCHOOL - BRONX 4, SOUNDVIEW ACADEMY FOR CULTURE",3,0,0,0,0,9.2400000,298.0
"J.H.S. 144 MICHELANGELO, PELHAM GARDENS MIDDLE SCHOOL, BRONX CHARTER SCHOOL FOR BETTER LEARNING II",1,0,0,0,0,16.9000000,430.0
"J.H.S. 144 MICHELANGELO, PELHAM GARDENS MIDDLE SCHOOL, BRONX CHARTER SCHOOL FOR BETTER LEARNING II",1,0,0,0,0,11.1800000,421.0
"J.H.S. 144 MICHELANGELO, PELHAM GARDENS MIDDLE SCHOOL, BRONX CHARTER SCHOOL FOR BETTER LEARNING II",1,0,0,0,0,10.3900000,291.0
J.H.S. 162 THE WILLOUGHBY,2,0,0,0,0,7.0500000,284.0
"J.H.S. 218 JAMES P. SINNOTT, ACHIEVEMENT FIRST LINDEN CHARTER MIDDLE SCHOOL, THE SCHOOL FOR CLASSICS",3,0,0,0,0,9.0500000,305.0
"J.H.S. 218 JAMES P. SINNOTT, ACHIEVEMENT FIRST LINDEN CHARTER MIDDLE SCHOOL, THE SCHOOL FOR CLASSICS",3,0,0,0,0,11.2900000,269.0
"J.H.S. 291 ROLAND HAYES, MATH, ENGIN.& SCIENCE ACADEMY CHS, BUSHWICK COMMUNITY HIGH SCHOOL",1,0,0,0,0,8.1900000,86.0
"J.H.S. 291 ROLAND HAYES, MATH, ENGIN.& SCIENCE ACADEMY CHS, BUSHWICK COMMUNITY HIGH SCHOOL",1,0,0,0,0,8.7800000,267.0
"J.H.S. 291 ROLAND HAYES, MATH, ENGIN.& SCIENCE ACADEMY CHS, BUSHWICK COMMUNITY HIGH SCHOOL",1,0,0,0,0,14.7900000,515.0
J.H.S. 293 BROOKLYN,1,0,0,0,0,10.8000000,782.0
J.H.S. 293 BROOKLYN,1,0,0,0,0,12.8900000,331.0
J.H.S. 383 PHILIPPA SCHUYLER,3,0,0,0,0,9.9800000,938.0
J.H.S. 383 PHILIPPA SCHUYLER,3,0,0,0,0,13.5400000,822.0
JAMES MADISON HIGH SCHOOL,0,0,0,0,0,17.1600000,3630.0
"JOHN ERICSSON MIDDLE SCHOOL 126, NORTHSIDE CHARTER HIGH SCHOOL",3,0,0,0,0,8.5100000,177.0
JUAN MOREL CAMPOS SECONDARY SCHOOL/BEGINNING WITH CHILDREN CHARTER SCHOOL,0,0,0,0,0,13.9700000,597.0
JUAN MOREL CAMPOS SECONDARY SCHOOL/BEGINNING WITH CHILDREN CHARTER SCHOOL,0,0,0,0,0,7.3600000,454.0
KHALIL GIBRAN INTERNATIONAL ACADEMY,0,0,0,0,0,6.8700000,134.0
"KINGSBOROUGH EARLY COLLEGE SCHOOL, HIGH SCHOOL OF SPORTS MANAGEMENT, INTERNATIONAL HS AT LAFAYETTE,",1,0,0,0,0,11.6100000,338.0
"KINGSBOROUGH EARLY COLLEGE SCHOOL, HIGH SCHOOL OF SPORTS MANAGEMENT, INTERNATIONAL HS AT LAFAYETTE,",1,0,0,0,0,13.2800000,353.0
"KINGSBOROUGH EARLY COLLEGE SCHOOL, HIGH SCHOOL OF SPORTS MANAGEMENT, INTERNATIONAL HS AT LAFAYETTE,",1,0,0,0,0,16.0900000,743.0
"KINGSBOROUGH EARLY COLLEGE SCHOOL, HIGH SCHOOL OF SPORTS MANAGEMENT, INTERNATIONAL HS AT LAFAYETTE,",1,0,0,0,0,11.7900000,372.0
"KINGSBOROUGH EARLY COLLEGE SCHOOL, HIGH SCHOOL OF SPORTS MANAGEMENT, INTERNATIONAL HS AT LAFAYETTE,",1,0,0,0,0,10.5500000,251.0
"KIPP AMP ELEMENTARY CHARTER SCHOOL, KIPP AMP CHARTER SCHOOL, THE SCHOOL OF INTEGRATED LEARNING",1,0,0,0,0,9.8500000,199.0
LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,0,0,0,0,0,14.6300000,282.0
"M.S. 113 RONALD EDMONDS LEARNING CENTER, COMPASS CHARTER SCHOOL, P.S. 372 -THE CHILDREN'S SCHOOL",2,0,0,0,0,7.9600000,226.0
M.S. 180 DR. DANIEL HALE WILLIAMS,0,0,0,0,0,10.5500000,774.0
"M.S. 246 WALT WHITMAN, SUCCESS ACADEMY CHARTER SCHOOL DITMAS PARK MIDDLE SCHOOL",2,0,0,0,0,9.9200000,308.0
"M.S. 267 MATH, SCIENCE & TECHNOLOGY, LA CIMA CHARTER SCHOOL, BEDFORD STUYVESANT COLLEGIATE CHARTER S",1,0,0,0,0,11.7100000,199.0
"M.S. 267 MATH, SCIENCE & TECHNOLOGY, LA CIMA CHARTER SCHOOL, BEDFORD STUYVESANT COLLEGIATE CHARTER S",1,0,0,0,0,9.3100000,149.0
"M.S. 301 PAUL L. DUNBAR, GIRLS PREPARATORY CHARTER SCHOOL BRONX MIDDLE SCHOOL, P.S. X188",0,0,0,0,0,9.1800000,182.0
"M.S. 302 LUISA DESSUS CRUZ, GIRLS PREPARATORY CHARTER SCHOOL OF THE BRONX",3,0,0,0,0,9.4700000,360.0
"M.S. 390, P010X @ PS 396, P.S. 396",0,0,0,0,0,10.1700000,394.0
"M.S. 390, P010X @ PS 396, P.S. 396",0,0,0,0,0,5.3300000,213.0
"M.S. K266 - PARK PLACE COMMUNITY MIDDLE SCHOOL, P.S. K077",2,0,0,0,0,4.6300000,69.0
"M.S. K266 - PARK PLACE COMMUNITY MIDDLE SCHOOL, P.S. K077",2,0,0,0,0,4.7900000,304.0
"M.S. K394, EXPLORE EMPOWER CHARTER SCHOOL",2,0,0,0,0,9.8900000,430.0
"M.S. K394, EXPLORE EMPOWER CHARTER SCHOOL",2,0,0,0,0,12.9000000,247.0
"M.S. X101 EDWARD R. BYRNE, P.S. 304 EARLY CHILDHOOD SCHOOL, P.S. X010",0,0,0,0,0,12.7300000,535.0
"M.S. X101 EDWARD R. BYRNE, P.S. 304 EARLY CHILDHOOD SCHOOL, P.S. X010",0,0,0,0,0,4.8700000,638.0
"M.S. X101 EDWARD R. BYRNE, P.S. 304 EARLY CHILDHOOD SCHOOL, P.S. X010",0,0,0,0,0,14.6800000,511.0
"M.S.129 ACADEMY FOR INDEPENDENT LEARNING AND LEADERSHIP, KAPPA III",1,0,0,0,0,10.9900000,284.0
"M.S.129 ACADEMY FOR INDEPENDENT LEARNING AND LEADERSHIP, KAPPA III",1,0,0,0,0,10.2200000,298.0
MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED,0,0,0,0,0,16.2200000,1207.0
MIDDLE COLLEGE HIGH SCHOOL,1,0,0,0,0,18.1800000,1351.0
MIDWOOD HIGH SCHOOL,0,0,0,0,0,17.2900000,4062.0
"MILLENIUM ART ACADEMY, THE ANTONIA PANTOJA PREPARATORY ACAD, BRONX COMMUNITY HS, BRONX BRIDGES HIGH",3,0,0,0,0,10.2200000,420.0
